Date,Baseline,LitchfieldRd,WildHorsePass,HappyValleyRd,ElliotRd,ThomasRd,Ave67,St56,HawesRd,DysartRd,Ave75,BaselineRd,Total
11/16/2020,1,1.06372606,1.048878327,0.883074678,,0.77587233,0.882045536,,0.883457254,0.87579882,0.925309155,0.844601151,0.916664442
11/23/2020,1,1.10018782,1.074399693,0.924879563,,0.789759787,0.870545904,,0.894534345,0.901578604,0.927012533,0.885721381,0.936215226
11/30/2020,1,1.04720973,1.060867167,0.860620405,,0.764899472,0.86231725,,0.877650041,0.879925489,0.919232952,0.844418118,0.905966367
12/7/2020,1,1.023377538,1.003539392,0.85487194,,0.761807178,0.860402729,,0.848860284,0.863153673,0.91676235,0.832728867,0.889355318
12/14/2020,1,1.060103297,1.083535824,0.895545016,,0.792931991,0.886200087,,0.919175616,0.881985424,0.940386164,0.878074352,0.931187448
12/21/2020,1,1.097817608,1.095594954,0.949214734,,0.830391046,0.893821665,,0.924795262,0.921328148,0.936154113,0.872676449,0.955396654
12/28/2020,1,1.02227433,1.025975009,0.919542432,,0.742996865,0.809025357,,0.836809317,0.840732331,0.84497587,0.80092157,0.88068309
1/4/2021,1,1.01515984,1.02051777,0.836821758,,0.84723297,0.829206584,,0.874922654,0.841249014,0.895456045,0.826273099,0.897559634
1/11/2021,1,1.023949857,1.033546367,0.856615258,,0.867269003,0.852882556,,0.899379029,0.869510238,0.923487878,0.861613851,0.91709672
1/18/2021,1,1.028638252,1.02119053,0.851711816,,0.870689347,0.891701039,,0.867947991,0.883452193,0.925387021,0.869632373,0.921702817
1/25/2021,1,1.052139642,1.033401461,0.888533932,,0.881776812,0.872042975,,0.87475311,0.882542898,0.921376252,0.861734838,0.930413872
2/1/2021,1,1.059646598,1.064484014,0.892922183,,0.899440002,0.997826137,,0.89763286,0.915073559,0.971585435,0.902520026,0.969198996
2/8/2021,1,1.08764015,1.030006569,0.917777015,,0.919610882,1.06343118,,0.91747951,0.935169826,0.988916604,0.938298194,0.994295543
2/15/2021,1,1.087671945,0.881097017,0.934924687,,0.924259048,1.034241835,,0.938362947,0.951173415,0.999854826,0.935849749,0.977472589
2/22/2021,1,1.098541197,0.902097358,0.940435167,,0.933124026,1.030940098,,0.94805949,0.958162239,1.014314184,0.979517696,0.98778008
3/1/2021,1,1.111790297,0.926914873,0.94208306,,0.940102978,1.072694501,,0.94533811,0.970705409,1.028155891,0.996592441,1.0038016
