Date,Baseline,Arizona_11,Arizona_22,Arizona_23,Arizona_31,Arizona_32,Arizona_33,Arizona_31_33,Arizona_42,Arizona_44,Arizona_45,Arizona_44_45,Arizona_48,Arizona_49,Arizona_48_49,Arizona_51,Arizona_52,Arizona_53,Arizona_54,Arizona_56,Arizona_61,Arizona_62,Arizona_71,Arizona_72,Arizona_81,Arizona_92,Arizona_Total,MARICOPA_11,MARICOPA_22,MARICOPA_23,MARICOPA_31,MARICOPA_32,MARICOPA_33,MARICOPA_31_33,MARICOPA_42,MARICOPA_44,MARICOPA_45,MARICOPA_44_45,MARICOPA_48,MARICOPA_49,MARICOPA_48_49,MARICOPA_51,MARICOPA_52,MARICOPA_53,MARICOPA_54,MARICOPA_56,MARICOPA_61,MARICOPA_62,MARICOPA_71,MARICOPA_72,MARICOPA_81,MARICOPA_92,MARICOPA_Total,PINAL_11,PINAL_22,PINAL_23,PINAL_31,PINAL_32,PINAL_33,PINAL_31_33,PINAL_42,PINAL_44,PINAL_45,PINAL_44_45,PINAL_48,PINAL_49,PINAL_48_49,PINAL_51,PINAL_52,PINAL_53,PINAL_54,PINAL_56,PINAL_61,PINAL_62,PINAL_71,PINAL_72,PINAL_81,PINAL_92,PINAL_Total,Auto,Electronics,HomeImprovement,Grocery,Gas,GeneralMerch,Hotels,Restaurants
5/11/2020,1,0.785602504,0.154907793,0.744909991,0.551468151,0.656349436,0.71742271,0.616256958,0.796182266,0.760610462,0.704144838,0.738856562,0.255221089,0.812846541,0.302074225,0.225595914,0.544239422,0.644981555,0.618983726,0.597921289,0.132094564,0.445527658,0.405310003,0.56580912,0.538751762,0.621838513,0.544525876,0.776094276,0.201435811,0.752185967,0.531577457,0.602912449,0.700143215,0.593168271,0.760255834,0.743589558,0.690772422,0.723163258,0.219774769,0.734145988,0.250395224,0.200793277,0.493028064,0.637885953,0.587881768,0.66698879,0.120681843,0.426216122,0.376558631,0.552883493,0.519488286,0.588543527,0.52407166,0.6,0.041822255,0.493865031,0.240793201,0.808988764,0.755555556,0.422932331,0.79122807,0.77050349,0.770691362,0.770566943,0.451822917,1.174262735,0.687992989,0.554707379,0.764264264,0.758671132,0.705,0.853846154,0.139616916,0.443786982,0.502698353,0.69769017,0.537327958,0.663217623,0.600166057,0.704242282,0.596940837,1.098267622,0.743679469,0.791528119,0.733461901,0.377442529,0.573052291
5/18/2020,1,0.791862285,0.189411065,0.790582501,0.613508318,0.72606306,0.759895984,0.675448605,0.853189007,0.81566036,0.782999713,0.803077546,0.287263594,0.823338736,0.332306016,0.265862656,0.57000794,0.734072198,0.653912742,0.641130445,0.163860411,0.479608817,0.489833088,0.64130819,0.582986031,0.631935537,0.608325495,0.786195286,0.233530405,0.792919599,0.573869536,0.672349494,0.752953813,0.645162769,0.818168191,0.792685998,0.766253283,0.78246351,0.25224588,0.751124655,0.281944072,0.234370091,0.52240349,0.72592138,0.6203901,0.682450715,0.152565946,0.462788436,0.460159106,0.619117753,0.559169639,0.59032988,0.584415454,0.9,0.059746079,0.601226994,0.331444759,0.842696629,0.811111111,0.498120301,0.914035088,0.79444527,0.825382958,0.804894362,0.622395833,1.195710456,0.809815951,0.582697201,0.743993994,0.812526466,0.7925,0.892307692,0.162829509,0.452366864,0.543694376,0.760702525,0.567913249,0.686915888,0.641062768,0.784602304,0.628802309,1.09067247,0.7749072,0.830822611,0.819260459,0.477916667,0.635858022
5/25/2020,1,0.854460094,0.154907793,0.780284569,0.600848413,0.701185999,0.706876625,0.650209176,0.809891107,0.800626586,0.766025306,0.787296125,0.30706813,0.741448435,0.343565889,0.257832009,0.537622415,0.729431064,0.642139889,0.610767254,0.128469491,0.436370365,0.493296894,0.637353675,0.556534666,0.637789837,0.594614624,0.861952862,0.212415541,0.780443591,0.559237232,0.668087373,0.706945936,0.625171939,0.758556938,0.778376547,0.750952526,0.767770684,0.273593225,0.667827601,0.297061949,0.228715049,0.49234726,0.719746471,0.609408294,0.641863162,0.121313081,0.417530116,0.459997313,0.613200404,0.535356556,0.609979755,0.570584457,0.4,0.035847647,0.610429448,0.280453258,0.943820225,0.577777778,0.441729323,1.007017544,0.772285757,0.80074553,0.781897942,0.4453125,1.013404826,0.631025416,0.56870229,0.762762763,0.796165839,0.7375,0.823076923,0.113483785,0.424630178,0.525752698,0.730410818,0.511886556,0.672563418,0.612544425,0.744612859,0.618008658,1.061763953,0.770881418,0.820307455,0.796143989,0.501077586,0.626333403
6/1/2020,1,0.840375587,0.173111243,0.893325996,0.659905879,0.781313277,0.783444091,0.718493932,0.892727508,0.845621768,0.784293726,0.821994576,0.372045165,0.843811311,0.411684179,0.278490352,0.627349038,0.759690016,0.701826524,0.72708163,0.145934043,0.515342297,0.535861665,0.667048458,0.58911188,0.688669627,0.632282085,0.803030303,0.225506757,0.902324589,0.609931087,0.724027704,0.788220551,0.685052728,0.884125319,0.824057347,0.763704593,0.80071675,0.329524369,0.778261501,0.356237636,0.259189444,0.571698732,0.740820582,0.659618642,0.792230383,0.139116109,0.494458198,0.502952041,0.642157972,0.568766062,0.65731809,0.606239222,0.2,0.050037341,0.576687117,0.300283286,0.808988764,0.9,0.486842105,0.98245614,0.811317392,0.878327218,0.833949719,0.450520833,1.002680965,0.631025416,0.519083969,0.818318318,0.813219386,0.78,0.742307692,0.131462166,0.521227811,0.555671274,0.748861434,0.521896288,0.70493992,0.645487591,0.768624117,0.65968254,1.042434716,0.794094811,0.926191509,0.778214932,0.528994253,0.654652237
6/8/2020,1,0.9342723,0.175490779,0.900558132,0.66945052,0.789702054,0.772320139,0.722815752,0.902450091,0.850894203,0.810221562,0.835224694,0.401419416,0.800904205,0.434985164,0.295970488,0.595644118,0.787706518,0.712950139,0.71306785,0.153000212,0.519337564,0.581670596,0.694244319,0.596350122,0.675974346,0.651863696,0.882154882,0.234797297,0.910428663,0.608420655,0.736814065,0.774615109,0.684135718,0.885724279,0.82852939,0.794639419,0.81542291,0.35978175,0.708605427,0.380547181,0.275722589,0.542600671,0.774663964,0.66464514,0.753189022,0.147426982,0.500398515,0.549438797,0.668953113,0.576354925,0.636894129,0.627399931,0.3,0.041822255,0.558282209,0.40509915,1.112359551,0.622222222,0.560150376,0.901754386,0.799970296,0.840351797,0.813609002,0.483072917,0.890080429,0.616126205,0.583969466,0.804054054,0.810178235,0.63,0.661538462,0.140868576,0.518639053,0.574086347,0.751617348,0.549701098,0.714953271,0.644211784,0.799642323,0.662626263,1.002986858,0.778917027,0.926364994,0.808870165,0.588692529,0.677866855
6/15/2020,1,1.284820031,0.168590125,0.891989623,0.671637834,0.755568412,0.724068188,0.704249213,0.88106041,0.832728691,0.78495215,0.81432234,0.406380332,0.787938241,0.438439816,0.28561294,0.573240821,0.766957445,0.706587604,0.702674296,0.149155495,0.509550927,0.560320179,0.671270743,0.57159554,0.629731952,0.633626054,1.326599327,0.222761824,0.89059501,0.612574342,0.694725626,0.731292517,0.664190738,0.85889172,0.808394323,0.76546885,0.791793487,0.368682601,0.700333769,0.388425754,0.25730443,0.517587433,0.753142894,0.658963012,0.706416699,0.145090613,0.489893979,0.524626847,0.643264661,0.547302252,0.580624032,0.607517675,0.4,0.025392084,0.579754601,0.433427762,0.707865169,0.555555556,0.5,1.035087719,0.80320808,0.823985089,0.81022544,0.526041667,0.857908847,0.634531113,0.564885496,0.75975976,0.800323363,0.835,0.769230769,0.117352551,0.513535503,0.563434956,0.722026298,0.518837759,0.665554072,0.629570377,0.759506289,0.662279942,0.93130227,0.7789383,0.902539637,0.785325709,0.569583333,0.651578207
6/22/2020,1,0.841940532,0.18477097,0.898199827,0.617816663,0.740526468,0.74602716,0.67783425,0.892662691,0.840500792,0.780031094,0.817204285,0.452030141,0.817111661,0.482705236,0.282150965,0.5721821,0.748717493,0.713815789,0.714819573,0.149900785,0.516150778,0.558479424,0.670498453,0.57606049,0.642821904,0.633394361,0.851851852,0.246199324,0.887289401,0.558198811,0.670751199,0.736484067,0.632920679,0.853295358,0.80963555,0.755972324,0.788882036,0.411515074,0.736032506,0.430833557,0.247054665,0.518646461,0.730341116,0.660165,0.685349826,0.143086888,0.493605864,0.516087456,0.633200191,0.54817789,0.584196737,0.601375305,0.1,0.059746079,0.524539877,0.402266289,1.078651685,1.133333333,0.639097744,1.012280702,0.788385564,0.809715184,0.795589566,0.544270833,0.769436997,0.617879053,0.489821883,0.758258258,0.810370713,0.76,0.734615385,0.118945572,0.528994083,0.550558606,0.726884182,0.529125539,0.68024032,0.628502142,0.782872556,0.662049062,0.951804916,0.778672396,0.913661992,0.77019146,0.612126437,0.63737191
6/29/2020,1,0.820031299,0.130160619,0.806854807,0.555776496,0.64087359,0.646633921,0.597863292,0.807330827,0.791574837,0.705305644,0.758338838,0.396004664,0.943956325,0.442044982,0.242196368,0.559118236,0.707224734,0.617209141,0.66717272,0.111209565,0.408262071,0.502625067,0.612958792,0.501150839,0.555106068,0.575476098,0.794612795,0.171452703,0.809127746,0.52742377,0.588527793,0.644647333,0.573223292,0.768950182,0.755302397,0.659512904,0.71825713,0.368737714,0.895225657,0.400079477,0.209511467,0.512594871,0.699282631,0.562749276,0.577696173,0.101584907,0.393599682,0.452988101,0.572731614,0.468936207,0.488865071,0.541813329,0.9,0.03360717,0.466257669,0.365439093,0.629213483,0.8,0.483082707,1.003508772,0.749264815,0.831032675,0.776881615,0.526041667,0.860589812,0.635407537,0.399491094,0.593093093,0.841821611,0.74,0.788461538,0.104570453,0.375147929,0.458956637,0.685779013,0.450298902,0.580440587,0.590263363,0.745814888,0.56023088,0.885646015,0.745588658,0.893932823,0.719606458,0.505574713,0.582105617
7/6/2020,1,0.704225352,0.139559786,0.830516469,0.57460065,0.668643332,0.670326495,0.619991011,0.803798289,0.754752466,0.674709846,0.723915311,0.429557352,1.156871108,0.490668138,0.245431328,0.579479714,0.682165844,0.631319252,0.637627,0.114209496,0.408603849,0.482485621,0.603759075,0.504698193,0.567505345,0.561415638,0.725589226,0.179054054,0.843036895,0.546209761,0.627064465,0.659863946,0.596194406,0.78089242,0.724565253,0.635666711,0.690184966,0.397378429,1.157306632,0.442616861,0.216187559,0.540356539,0.678330574,0.573949626,0.564746811,0.103994615,0.39233094,0.443118715,0.570546673,0.476119286,0.496605931,0.532902864,0.2,0.064227035,0.5,0.345609065,0.943820225,1.044444444,0.563909774,0.938596491,0.704767563,0.762187664,0.724160995,0.3984375,0.815013405,0.534618755,0.405852417,0.624624625,0.779150787,0.655,0.888461538,0.111549403,0.388757396,0.420138231,0.665273139,0.42277214,0.611481976,0.561061553,0.692749714,0.541818182,0.84171787,0.696784692,0.8747723,0.679313777,0.472557471,0.581993107
7/13/2020,1,0.696400626,0.151338489,0.853549249,0.607344071,0.708706971,0.712077434,0.656640044,0.819970184,0.773491614,0.691469219,0.741891732,0.42465121,1.190992067,0.489041155,0.252412032,0.597761561,0.698450217,0.668542244,0.677916618,0.126740495,0.425079905,0.529731001,0.624162707,0.524813533,0.576286795,0.581512413,0.678451178,0.192778716,0.862230753,0.568677428,0.670396022,0.712853562,0.631866116,0.800879428,0.746903726,0.649927303,0.70939943,0.389166498,1.205920766,0.43778778,0.226358781,0.562722207,0.695194676,0.601322188,0.625048319,0.115773372,0.408437462,0.491302929,0.590353323,0.494009354,0.501548172,0.552975505,0.6,0.070948469,0.527607362,0.305949008,0.91011236,1.066666667,0.535714286,0.921052632,0.711985742,0.779078572,0.734646103,0.384114583,1.016085791,0.590709904,0.41475827,0.624624625,0.801516726,0.7325,0.788461538,0.136392945,0.392381657,0.456873698,0.685171778,0.481857361,0.626835781,0.581261834,0.746547832,0.567215007,0.859105649,0.701342282,0.910307937,0.688435578,0.49841954,0.601626148
