Day,Date,Baseline,Compare to Normal,5-Day Average Compare to Normal
"Wednesday, June 24, 2020",6/24/2020,1,0.23764,0.26136336
"Thursday, June 25, 2020",6/25/2020,1,0.17955,0.256079024
"Friday, June 26, 2020",6/26/2020,1,0.27747,0.267254636
"Monday, June 29, 2020",6/29/2020,1,0.18363,0.227133083
"Tuesday, June 30, 2020",6/30/2020,1,0.1766,0.210976971
"Wednesday, July 1, 2020",7/1/2020,1,0.18989,0.201428247
"Thursday, July 2, 2020",7/2/2020,1,0.6609,0.297697955
"Friday, July 3, 2020",7/3/2020,1,0.18629,0.279461267
"Monday, July 6, 2020",7/6/2020,1,0.24152,0.291038683
"Tuesday, July 7, 2020",7/7/2020,1,0.17759,0.291236817
"Wednesday, July 8, 2020",7/8/2020,1,0.18021,0.289300357
"Thursday, July 9, 2020",7/9/2020,1,0.17341,0.191803297
"Friday, July 10, 2020",7/10/2020,1,0.22343,0.199231831
"Monday, July 13, 2020",7/13/2020,1,0.16255,0.183438977
"Tuesday, July 14, 2020",7/14/2020,1,0.16745,0.181410619
"Wednesday, July 15, 2020",7/15/2020,1,0.13967,0.173302919
"Thursday, July 16, 2020",7/16/2020,1,0.49083,0.236787776
"Friday, July 17, 2020",7/17/2020,1,0.18422,0.228944967
"Monday, July 20, 2020",7/20/2020,1,0.22254,0.240942727
"Tuesday, July 21, 2020",7/21/2020,1,0.17803,0.243058115
"Wednesday, July 22, 2020",7/22/2020,1,0.24229,0.26358225
"Thursday, July 23, 2020",7/23/2020,1,0.21213,0.207841435
"Friday, July 24, 2020",7/24/2020,1,0.23042,0.217082721
"Monday, July 27, 2020",7/27/2020,1,0.19003,0.210580569
"Tuesday, July 28, 2020",7/28/2020,1,0.17783,0.210542156
"Wednesday, July 29, 2020",7/29/2020,1,0.22277,0.206636957
"Thursday, July 30, 2020",7/30/2020,1,0.20516,0.205242148
"Friday, July 31, 2020",7/31/2020,1,0.24838,0.20883444
"Monday, August 3, 2020",8/3/2020,1,0.16733,0.204293625
"Tuesday, August 4, 2020",8/4/2020,1,0.21301,0.211329625
"Wednesday, August 5, 2020",8/5/2020,1,0.18139,0.203053935
"Thursday, August 6, 2020",8/6/2020,1,0.19315,0.200653049
"Friday, August 7, 2020",8/7/2020,1,0.2915,0.209276124
"Monday, August 10, 2020",8/10/2020,1,0.1827,0.212350773
"Tuesday, August 11, 2020",8/11/2020,1,0.31533,0.232813887
"Wednesday, August 12, 2020",8/12/2020,1,0.28006,0.252547886
"Thursday, August 13, 2020",8/13/2020,1,0.21009,0.255935975
"Friday, August 14, 2020",8/14/2020,1,0.32026,0.261688137
"Monday, August 17, 2020",8/17/2020,1,0.18712,0.262573439
"Tuesday, August 18, 2020",8/18/2020,1,0.20907,0.241321656
"Wednesday, August 19, 2020",8/19/2020,1,0.19993,0.225294856
"Thursday, August 20, 2020",8/20/2020,1,0.23659,0.230593797
"Friday, August 21, 2020",8/21/2020,1,0.35415,0.237372442
"Monday, August 24, 2020",8/24/2020,1,0.20129,0.240205742
"Tuesday, August 25, 2020",8/25/2020,1,0.2433,0.247051744
"Wednesday, August 26, 2020",8/26/2020,1,0.18586,0.244237984
"Thursday, August 27, 2020",8/27/2020,1,0.23379,0.243679127
"Friday, August 28, 2020",8/28/2020,1,0.28413,0.229674083
"Monday, August 31, 2020",8/31/2020,1,0.30424,0.25026364
"Tuesday, September 1, 2020",9/1/2020,1,0.16,0.23360369
"Wednesday, September 2, 2020",9/2/2020,1,0.21894,0.240219414
"Thursday, September 3, 2020",9/3/2020,1,0.20548,0.234556682
"Friday, September 4, 2020",9/4/2020,1,0.36685,0.251100392
"Monday, September 7, 2020",9/7/2020,1,0,0.23781571
"Tuesday, September 8, 2020",9/8/2020,1,0.1214,0.228164668
"Wednesday, September 9, 2020",9/9/2020,1,0.15629,0.212504326
"Thursday, September 10, 2020",9/10/2020,1,0.28303,0.23189244
"Friday, September 11, 2020",9/11/2020,1,0.20247,0.190797087
"Monday, September 14, 2020",9/14/2020,1,0.20817,0.194271539
"Tuesday, September 15, 2020",9/15/2020,1,0.18025,0.206043021
"Wednesday, September 16, 2020",9/16/2020,1,0.17982,0.21074716
"Thursday, September 17, 2020",9/17/2020,1,0.17641,0.189423552
"Friday, September 18, 2020",9/18/2020,1,0.30707,0.210345156
"Monday, September 21, 2020",9/21/2020,1,0.17174,0.203059204
"Tuesday, September 22, 2020",9/22/2020,1,0.17918,0.20284393
"Wednesday, September 23, 2020",9/23/2020,1,0.2843,0.223741326
"Thursday, September 24, 2020",9/24/2020,1,0.27009,0.24247705
"Friday, September 25, 2020",9/25/2020,1,0.29812,0.240686239
"Monday, September 28, 2020",9/28/2020,1,0.14898,0.236133886
"Tuesday, September 29, 2020",9/29/2020,1,0.17913,0.236125017
"Wednesday, September 30, 2020",9/30/2020,1,0.26092,0.231448355
"Thursday, October 1, 2020",10/1/2020,1,0.26475,0.230380724
"Friday, October 2, 2020",10/2/2020,1,0.31138,0.233032762
"Monday, October 5, 2020",10/5/2020,1,0.17189,0.237615325
"Tuesday, October 6, 2020",10/6/2020,1,0.21555,0.244898877
"Wednesday, October 7, 2020",10/7/2020,1,0.21103,0.234921206
"Thursday, October 8, 2020",10/8/2020,1,0.31495,0.244960831
"Friday, October 9, 2020",10/9/2020,1,0.33931,0.25054607
"Monday, October 12, 2020",10/12/2020,1,0.17026,0.250220025
"Tuesday, October 13, 2020",10/13/2020,1,0.275,0.262109014
"Wednesday, October 14, 2020",10/14/2020,1,0.30833,0.281568719
"Thursday, October 15, 2020",10/15/2020,1,0.34522,0.287621584
"Friday, October 16, 2020",10/16/2020,1,0.35904,0.29156753
"Monday, October 19, 2020",10/19/2020,1,0.1886,0.295234914
"Tuesday, October 20, 2020",10/20/2020,1,0.25621,0.291477833
"Wednesday, October 21, 2020",10/21/2020,1,0.33431,0.296674272
"Thursday, October 22, 2020",10/22/2020,1,0.49674,0.326978543
"Friday, October 23, 2020",10/23/2020,1,0.41761,0.338693206
"Monday, October 26, 2020",10/26/2020,1,0.22236,0.345445843
"Tuesday, October 27, 2020",10/27/2020,1,0.28315,0.350834681
"Wednesday, October 28, 2020",10/28/2020,1,0.31882,0.347736024
"Thursday, October 29, 2020",10/29/2020,1,0.34692,0.317772003
"Friday, October 30, 2020",10/30/2020,1,0.31792,0.297834068
"Monday, November 2, 2020",11/2/2020,1,0.23057,0.299476495
"Tuesday, November 3, 2020",11/3/2020,1,0.25314,0.293473047
"Wednesday, November 4, 2020",11/4/2020,1,0.23377,0.276463978
"Thursday, November 5, 2020",11/5/2020,1,0.30334,0.267748071
"Friday, November 6, 2020",11/6/2020,1,0.35148,0.274459294
"Monday, November 9, 2020",11/9/2020,1,0.2226,0.272864283
"Tuesday, November 10, 2020",11/10/2020,1,0.36124,0.294485059
"Thursday, November 12, 2020",11/12/2020,1,0.30984,0.311288358
"Friday, November 13, 2020",11/13/2020,1,0.48708,0.345189589
"Monday, November 16, 2020",11/16/2020,1,0.30814,0.366576385
"Tuesday, November 17, 2020",11/17/2020,1,0.27902,0.346022206
"Wednesday, November 18, 2020",11/18/2020,1,0.29493,0.335803154
"Thursday, November 19, 2020",11/19/2020,1,0.26752,0.327339466
"Friday, November 20, 2020",11/20/2020,1,0.51574,0.333071155
"Monday, November 23, 2020",11/23/2020,1,0.37613,0.346668994
"Tuesday, November 24, 2020",11/24/2020,1,0.3708,0.365023322
"Wednesday, November 25, 2020",11/25/2020,1,0.58311,0.422659317
"Thursday, November 26, 2020",11/26/2020,1,0.00234,0.369622824
"Friday, November 27, 2020",11/27/2020,1,0.12638,0.291751993
"Monday, November 30, 2020",11/30/2020,1,0.15979,0.248483633
"Tuesday, December 1, 2020",12/1/2020,1,0.30925,0.236175367
"Wednesday, December 2, 2020",12/2/2020,1,0.20864,0.161281152
"Thursday, December 3, 2020",12/3/2020,1,0.33512,0.22783759
"Friday, December 4, 2020",12/4/2020,1,0.34054,0.270668601
"Monday, December 7, 2020",12/7/2020,1,0.14565,0.267840169
"Tuesday, December 8, 2020",12/8/2020,1,0.16382,0.23875318
"Wednesday, December 9, 2020",12/9/2020,1,0.21886,0.240797277
"Thursday, December 10, 2020",12/10/2020,1,0.23152,0.220078076
"Friday, December 11, 2020",12/11/2020,1,0.23712,0.199393887
